*Data source: Baseball Reference (FanGraphs was unavailable).*

Showing 200 of 463 total rows.

| Name                         |   Age |   #days | Lev           | Tm                     |   G |   PA |   AB |   R |   H |   2B |   3B |   HR |   RBI |   BB |   IBB |   SO |   HBP |   SH |   SF |   GDP |   SB |   CS |    BA |   OBP |   SLG |   OPS |   mlbID |
| Jason Heyward                |    33 |     914 | Maj-NL        | Los Angeles            | 127 |  384 |  341 |  56 |  90 |   23 |    0 |   15 |    40 |   34 |     1 |   68 |     3 |    0 |    3 |     7 |    2 |    2 | 0.264 | 0.333 | 0.463 | 0.797 |  518792 |
| Lourdes Gurriel Jr.          |    29 |     893 | Maj-NL        | Arizona                | 162 |  662 |  617 |  70 | 162 |   38 |    2 |   27 |    93 |   35 |     2 |  116 |     6 |    1 |    3 |    23 |    7 |    0 | 0.263 | 0.307 | 0.462 | 0.769 |  666971 |
| Manny Machado                |    30 |     926 | Maj-NL        | San Diego              | 138 |  601 |  543 |  75 | 140 |   21 |    0 |   30 |    91 |   50 |     1 |  109 |     2 |    0 |    6 |    20 |    3 |    2 | 0.258 | 0.319 | 0.462 | 0.782 |  592518 |
| Freddy Fermin                |    28 |     947 | Maj-AL        | Kansas City            |  70 |  235 |  217 |  26 |  61 |   10 |    1 |    9 |    32 |   13 |     0 |   50 |     1 |    1 |    3 |    11 |    0 |    0 | 0.281 | 0.321 | 0.461 | 0.781 |  666023 |
| Bryan Reynolds               |    28 |     925 | Maj-NL        | Pittsburgh             | 145 |  640 |  574 |  85 | 151 |   31 |    5 |   24 |    84 |   53 |     2 |  138 |     7 |    0 |    6 |    13 |   12 |    1 | 0.263 | 0.33  | 0.46  | 0.79  |  668804 |
| Randal Grichuk               |    31 |     924 | Maj-AL,Maj-NL | Colorado,Los Angeles   | 118 |  471 |  434 |  65 | 116 |   31 |    2 |   16 |    44 |   29 |     2 |   96 |     6 |    0 |    2 |    11 |    2 |    2 | 0.267 | 0.321 | 0.459 | 0.779 |  545341 |
| Nolan Arenado                |    32 |     934 | Maj-NL        | St. Louis              | 144 |  612 |  560 |  71 | 149 |   26 |    2 |   26 |    93 |   41 |     5 |  101 |     3 |    0 |    8 |    21 |    3 |    3 | 0.266 | 0.315 | 0.459 | 0.774 |  571448 |
| J.T. Realmuto                |    32 |     901 | Maj-NL        | Philadelphia           | 148 |  592 |  538 |  77 | 136 |   32 |    5 |   23 |    75 |   36 |     3 |  151 |    10 |    0 |    5 |    12 |   16 |    6 | 0.253 | 0.309 | 0.459 | 0.768 |  592663 |
| Stone Garrett                |    27 |     963 | Maj-NL        | Washington             |  89 |  271 |  234 |  40 |  63 |   17 |    0 |    9 |    40 |   26 |     0 |   82 |     3 |    0 |    5 |     6 |    3 |    1 | 0.269 | 0.343 | 0.457 | 0.801 |  656448 |
| Cal Raleigh                  |    26 |     924 | Maj-AL        | Seattle                | 145 |  569 |  513 |  78 | 119 |   23 |    1 |   30 |    75 |   54 |     1 |  158 |     1 |    0 |    1 |     6 |    0 |    0 | 0.232 | 0.306 | 0.456 | 0.762 |  663728 |
| Noelvi Marte                 |    21 |     924 | Maj-NL        | Cincinnati             |  34 |  123 |  114 |  15 |  36 |    7 |    0 |    3 |    15 |    8 |     0 |   25 |     1 |    0 |    0 |     1 |    6 |    2 | 0.316 | 0.366 | 0.456 | 0.822 |  682622 |
| Justin Turner                |    38 |     924 | Maj-AL        | Boston                 | 146 |  626 |  558 |  86 | 154 |   31 |    0 |   23 |    96 |   51 |     0 |  110 |    11 |    0 |    6 |    10 |    4 |    1 | 0.276 | 0.345 | 0.455 | 0.8   |  457759 |
| William Contreras            |    25 |     921 | Maj-NL        | Milwaukee              | 143 |  621 |  549 |  86 | 159 |   38 |    1 |   17 |    78 |   64 |     2 |  129 |     5 |    1 |    2 |    23 |    6 |    1 | 0.29  | 0.368 | 0.455 | 0.823 |  661388 |
| Jack Suwinski                |    24 |     924 | Maj-NL        | Pittsburgh             | 144 |  534 |  447 |  63 | 100 |   21 |    2 |   26 |    74 |   75 |     2 |  172 |     6 |    0 |    6 |     2 |   13 |    2 | 0.224 | 0.339 | 0.454 | 0.793 |  669261 |
| Harold Ramírez        |    28 |     921 | Maj-AL        | Tampa Bay              | 124 |  442 |  408 |  58 | 126 |   19 |    2 |   12 |    68 |   22 |     0 |   81 |     6 |    0 |    6 |     8 |    5 |    3 | 0.309 | 0.348 | 0.453 | 0.802 |  623912 |
| Ke\'Bryan Hayes              |    26 |     925 | Maj-NL        | Pittsburgh             | 124 |  525 |  494 |  65 | 134 |   31 |    7 |   15 |    61 |   28 |     1 |  104 |     0 |    0 |    3 |    11 |   10 |    6 | 0.271 | 0.309 | 0.453 | 0.762 |  663647 |
| Enmanuel Valdez              |    24 |     924 | Maj-AL        | Boston                 |  49 |  149 |  139 |  17 |  37 |    8 |    0 |    6 |    19 |    8 |     0 |   37 |     1 |    0 |    0 |     4 |    5 |    1 | 0.266 | 0.311 | 0.453 | 0.764 |  665839 |
| Gleyber Torres               |    26 |     925 | Maj-AL        | New York               | 158 |  672 |  596 |  90 | 163 |   28 |    2 |   25 |    68 |   67 |     0 |   98 |     3 |    0 |    6 |    19 |   13 |    6 | 0.273 | 0.347 | 0.453 | 0.8   |  650402 |
| Edward Olivares              |    27 |     924 | Maj-AL        | Kansas City            | 107 |  385 |  354 |  47 |  93 |   23 |    4 |   12 |    36 |   22 |     1 |   64 |     7 |    0 |    2 |     7 |   11 |    5 | 0.263 | 0.317 | 0.452 | 0.769 |  658668 |
| Dairon Blanco                |    30 |     924 | Maj-AL        | Kansas City            |  69 |  138 |  124 |  19 |  32 |    7 |    4 |    3 |    18 |   10 |     0 |   33 |     2 |    2 |    0 |     2 |   24 |    5 | 0.258 | 0.324 | 0.452 | 0.775 |  680118 |
| Tommy Pham                   |    35 |     893 | Maj-NL        | Arizona,New York       | 145 |  545 |  487 |  65 | 126 |   30 |    3 |   19 |    72 |   49 |     1 |  125 |     2 |    0 |    7 |    13 |   24 |    3 | 0.259 | 0.325 | 0.45  | 0.774 |  502054 |
| Christian Yelich             |    31 |     921 | Maj-NL        | Milwaukee              | 146 |  642 |  558 | 108 | 157 |   35 |    1 |   19 |    76 |   80 |     7 |  141 |     3 |    0 |    1 |    15 |   29 |    3 | 0.281 | 0.374 | 0.45  | 0.824 |  592885 |
| Alex Bregman                 |    29 |     902 | Maj-AL        | Houston                | 172 |  773 |  663 | 113 | 172 |   29 |    5 |   29 |   105 |   99 |     1 |   97 |     9 |    0 |    2 |    22 |    3 |    1 | 0.259 | 0.362 | 0.449 | 0.812 |  608324 |
| Fernando Tatis Jr.           |    24 |     924 | Maj-NL        | San Diego              | 141 |  635 |  575 |  91 | 148 |   33 |    1 |   25 |    78 |   53 |     0 |  141 |     3 |    1 |    3 |    17 |   29 |    4 | 0.257 | 0.322 | 0.449 | 0.77  |  665487 |
| Tyrone Taylor                |    29 |     921 | Maj-NL        | Milwaukee              |  83 |  251 |  239 |  37 |  55 |   17 |    1 |   11 |    37 |    8 |     0 |   57 |     3 |    0 |    1 |    10 |    9 |    0 | 0.23  | 0.263 | 0.448 | 0.711 |  621438 |
| Paul Goldschmidt             |    35 |     925 | Maj-NL        | St. Louis              | 154 |  687 |  593 |  89 | 159 |   31 |    0 |   25 |    80 |   87 |     6 |  161 |     3 |    0 |    3 |    12 |   11 |    2 | 0.268 | 0.363 | 0.447 | 0.81  |  502671 |
| Jazz Chisholm Jr.            |    25 |     921 | Maj-NL        | Miami                  |  99 |  391 |  360 |  50 |  88 |   12 |    2 |   19 |    51 |   26 |     0 |  122 |     2 |    1 |    2 |     4 |   22 |    3 | 0.244 | 0.297 | 0.447 | 0.745 |  665862 |
| Ryan Mountcastle             |    26 |     915 | Maj-AL        | Baltimore              | 118 |  483 |  434 |  65 | 116 |   22 |    1 |   18 |    70 |   38 |     1 |  111 |     3 |    0 |    8 |    13 |    3 |    1 | 0.267 | 0.325 | 0.447 | 0.772 |  663624 |
| Riley Greene                 |    22 |     954 | Maj-AL        | Detroit                |  99 |  416 |  378 |  51 | 109 |   19 |    4 |   11 |    37 |   35 |     0 |  114 |     1 |    0 |    2 |     7 |    7 |    0 | 0.288 | 0.349 | 0.447 | 0.796 |  682985 |
| Jesús Sánchez  |    25 |     921 | Maj-NL        | Miami                  | 127 |  407 |  365 |  43 |  92 |   23 |    3 |   14 |    52 |   38 |     1 |  108 |     2 |    1 |    1 |    13 |    3 |    1 | 0.252 | 0.325 | 0.447 | 0.772 |  660821 |
| Jorge Polanco                |    29 |     914 | Maj-AL        | Minnesota              |  86 |  369 |  323 |  40 |  81 |   18 |    0 |   15 |    51 |   40 |     0 |   96 |     2 |    1 |    3 |     2 |    5 |    0 | 0.251 | 0.334 | 0.446 | 0.78  |  593871 |
| Spencer Torkelson            |    23 |     924 | Maj-AL        | Detroit                | 159 |  684 |  606 |  88 | 141 |   34 |    1 |   31 |    94 |   67 |     1 |  171 |     6 |    0 |    5 |    15 |    3 |    0 | 0.233 | 0.313 | 0.446 | 0.758 |  679529 |
| Eddie Rosario                |    31 |     913 | Maj-NL        | Atlanta                | 146 |  523 |  485 |  64 | 123 |   24 |    3 |   21 |    74 |   34 |     1 |  125 |     1 |    1 |    2 |    13 |    3 |    4 | 0.254 | 0.303 | 0.445 | 0.748 |  592696 |
| Masataka Yoshida             |    29 |     924 | Maj-AL        | Boston                 | 140 |  580 |  537 |  71 | 155 |   33 |    3 |   15 |    72 |   34 |     0 |   81 |     7 |    0 |    2 |    20 |    8 |    0 | 0.289 | 0.338 | 0.445 | 0.783 |  807799 |
| Jordan Walker                |    21 |     924 | Maj-NL        | St. Louis              | 117 |  465 |  420 |  51 | 116 |   19 |    2 |   16 |    51 |   37 |     0 |  104 |     6 |    0 |    2 |     9 |    7 |    4 | 0.276 | 0.342 | 0.445 | 0.787 |  691023 |
| Mike Yastrzemski             |    32 |     924 | Maj-NL        | San Francisco          | 106 |  381 |  330 |  54 |  77 |   23 |    1 |   15 |    43 |   45 |     3 |   99 |     3 |    2 |    1 |     5 |    2 |    2 | 0.233 | 0.33  | 0.445 | 0.775 |  573262 |
| Jake Rogers                  |    28 |     924 | Maj-AL        | Detroit                | 107 |  365 |  331 |  47 |  73 |   11 |    0 |   21 |    49 |   28 |     0 |  118 |     3 |    1 |    2 |     6 |    1 |    1 | 0.221 | 0.286 | 0.444 | 0.73  |  668670 |
| Luis Rengifo                 |    26 |     948 | Maj-AL        | Los Angeles            | 126 |  445 |  394 |  55 | 104 |   15 |    4 |   16 |    51 |   41 |     0 |   82 |     6 |    0 |    4 |     3 |    6 |    4 | 0.264 | 0.339 | 0.444 | 0.783 |  650859 |
| Jake Fraley                  |    28 |     928 | Maj-NL        | Cincinnati             | 111 |  380 |  336 |  41 |  86 |   18 |    0 |   15 |    65 |   37 |     2 |   71 |     6 |    0 |    1 |     5 |   21 |    5 | 0.256 | 0.339 | 0.443 | 0.783 |  641584 |
| Will Smith                   |    28 |     914 | Maj-NL        | Los Angeles            | 129 |  566 |  476 |  81 | 126 |   22 |    3 |   19 |    78 |   63 |     2 |   90 |    15 |    0 |   12 |     8 |    3 |    0 | 0.265 | 0.36  | 0.443 | 0.804 |  669257 |
| Austin Hays                  |    27 |     915 | Maj-AL        | Baltimore              | 147 |  579 |  531 |  77 | 146 |   37 |    2 |   16 |    67 |   40 |     1 |  144 |     3 |    0 |    5 |    12 |    5 |    1 | 0.275 | 0.326 | 0.443 | 0.769 |  669720 |
| Brandon Lowe                 |    28 |     934 | Maj-AL        | Tampa Bay              | 109 |  436 |  377 |  58 |  87 |   15 |    1 |   21 |    68 |   50 |     0 |  119 |     6 |    0 |    3 |     8 |    7 |    0 | 0.231 | 0.328 | 0.443 | 0.771 |  664040 |
| Ezequiel Duran               |    24 |     926 | Maj-AL        | Texas                  | 122 |  439 |  406 |  55 | 112 |   22 |    2 |   14 |    46 |   23 |     1 |  120 |     7 |    1 |    2 |     7 |    8 |    4 | 0.276 | 0.324 | 0.443 | 0.768 |  677649 |
| Vladimir Guerrero Jr.        |    24 |     921 | Maj-AL        | Toronto                | 158 |  690 |  609 |  78 | 160 |   31 |    0 |   26 |    94 |   68 |     5 |  100 |     9 |    0 |    4 |    23 |    5 |    3 | 0.263 | 0.343 | 0.442 | 0.785 |  665489 |
| Dominic Fletcher             |    25 |    1011 | Maj-NL        | Arizona                |  28 |  102 |   93 |  10 |  28 |    5 |    1 |    2 |    14 |    7 |     1 |   22 |     0 |    2 |    0 |     0 |    0 |    2 | 0.301 | 0.35  | 0.441 | 0.791 |  666150 |
| Eloy Jiménez          |    26 |     925 | Maj-AL        | Chicago                | 120 |  489 |  456 |  50 | 124 |   23 |    0 |   18 |    64 |   30 |     2 |   93 |     1 |    0 |    2 |    13 |    0 |    0 | 0.272 | 0.317 | 0.441 | 0.758 |  650391 |
| Joey Gallo                   |    29 |     950 | Maj-AL        | Minnesota              | 111 |  332 |  282 |  39 |  50 |    9 |    1 |   21 |    40 |   48 |     1 |  142 |     2 |    0 |    0 |     3 |    1 |    1 | 0.177 | 0.301 | 0.44  | 0.741 |  608336 |
| Xander Bogaerts              |    30 |     924 | Maj-NL        | San Diego              | 155 |  665 |  596 |  83 | 170 |   31 |    2 |   19 |    58 |   56 |     0 |  110 |     7 |    0 |    6 |    21 |   19 |    2 | 0.285 | 0.35  | 0.44  | 0.79  |  593428 |
| Charlie Blackmon             |    36 |     924 | Maj-NL        | Colorado               |  96 |  413 |  359 |  57 | 100 |   24 |    5 |    8 |    40 |   39 |     0 |   55 |    11 |    0 |    4 |     6 |    4 |    1 | 0.279 | 0.363 | 0.44  | 0.803 |  453568 |
| J.P. Crawford                |    28 |     924 | Maj-AL        | Seattle                | 145 |  638 |  534 |  94 | 142 |   35 |    0 |   19 |    65 |   94 |     1 |  125 |     5 |    3 |    2 |     7 |    2 |    0 | 0.266 | 0.38  | 0.438 | 0.818 |  641487 |
| Vinnie Pasquantino           |    25 |    1038 | Maj-AL        | Kansas City            |  61 |  260 |  231 |  24 |  57 |   17 |    0 |    9 |    26 |   25 |     2 |   31 |     2 |    0 |    1 |     7 |    0 |    0 | 0.247 | 0.324 | 0.437 | 0.762 |  686469 |
| Francisco Alvarez            |    21 |     924 | Maj-NL        | New York               | 123 |  423 |  382 |  51 |  80 |   12 |    0 |   25 |    63 |   34 |     0 |  110 |     6 |    0 |    1 |    14 |    2 |    0 | 0.209 | 0.284 | 0.437 | 0.721 |  682626 |
| Byron Buxton                 |    29 |     914 | Maj-AL        | Minnesota              |  86 |  348 |  305 |  49 |  63 |   17 |    1 |   17 |    42 |   35 |     2 |  109 |     4 |    0 |    4 |     3 |    9 |    0 | 0.207 | 0.293 | 0.436 | 0.729 |  621439 |
| Teoscar Hernández     |    30 |     925 | Maj-AL        | Seattle                | 160 |  678 |  625 |  70 | 161 |   29 |    2 |   26 |    93 |   38 |     2 |  211 |     8 |    0 |    7 |     6 |    7 |    2 | 0.258 | 0.305 | 0.435 | 0.741 |  606192 |
| René Pinto            |    26 |     921 | Maj-AL        | Tampa Bay              |  40 |  110 |  108 |  10 |  26 |    3 |    0 |    6 |    16 |    2 |     0 |   38 |     0 |    0 |    0 |     2 |    0 |    0 | 0.241 | 0.255 | 0.435 | 0.69  |  650907 |
| C.J. Cron                    |    33 |     934 | Maj-AL,Maj-NL | Colorado,Los Angeles   |  71 |  278 |  258 |  38 |  64 |   12 |    0 |   12 |    37 |   17 |     0 |   65 |     1 |    0 |    2 |    13 |    0 |    0 | 0.248 | 0.295 | 0.434 | 0.729 |  543068 |
| Andy Ibáñez    |    30 |     924 | Maj-AL        | Detroit                | 114 |  383 |  356 |  42 |  94 |   23 |    2 |   11 |    41 |   24 |     0 |   69 |     1 |    1 |    1 |     7 |    1 |    0 | 0.264 | 0.312 | 0.433 | 0.744 |  628451 |
| Joey Votto                   |    39 |     924 | Maj-NL        | Cincinnati             |  65 |  242 |  208 |  26 |  42 |    6 |    0 |   14 |    38 |   27 |     0 |   62 |     7 |    0 |    0 |     2 |    0 |    0 | 0.202 | 0.314 | 0.433 | 0.747 |  458015 |
| Michael A. Taylor            |    32 |     914 | Maj-AL        | Minnesota              | 134 |  402 |  368 |  49 |  80 |   14 |    1 |   21 |    51 |   26 |     0 |  135 |     4 |    3 |    1 |     8 |   13 |    1 | 0.217 | 0.276 | 0.432 | 0.708 |  572191 |
| James Outman                 |    26 |     916 | Maj-NL        | Los Angeles            | 153 |  573 |  488 |  86 | 120 |   16 |    3 |   23 |    70 |   69 |     1 |  184 |    12 |    0 |    4 |     4 |   16 |    3 | 0.246 | 0.351 | 0.432 | 0.783 |  681546 |
| Alec Bohm                    |    26 |     901 | Maj-NL        | Philadelphia           | 158 |  664 |  604 |  79 | 164 |   34 |    0 |   21 |   103 |   48 |     1 |  103 |     6 |    0 |    6 |    25 |    4 |    1 | 0.272 | 0.328 | 0.432 | 0.76  |  664761 |
| Alex Kirilloff               |    25 |     915 | Maj-AL        | Minnesota              |  93 |  330 |  290 |  35 |  76 |   14 |    1 |   11 |    41 |   30 |     1 |   84 |     7 |    0 |    3 |     2 |    1 |    0 | 0.262 | 0.342 | 0.431 | 0.773 |  666135 |
| Ryan McMahon                 |    28 |     924 | Maj-NL        | Colorado               | 152 |  627 |  555 |  80 | 133 |   31 |    3 |   23 |    70 |   68 |     2 |  198 |     1 |    0 |    3 |    19 |    5 |    5 | 0.24  | 0.322 | 0.431 | 0.753 |  641857 |
| Ian Happ                     |    28 |     925 | Maj-NL        | Chicago                | 158 |  691 |  580 |  86 | 144 |   35 |    4 |   21 |    84 |   99 |     2 |  153 |     6 |    0 |    6 |    12 |   14 |    3 | 0.248 | 0.36  | 0.431 | 0.791 |  664023 |
| Adley Rutschman              |    25 |     915 | Maj-AL        | Baltimore              | 157 |  700 |  600 |  84 | 164 |   32 |    1 |   20 |    80 |   93 |     6 |  103 |     2 |    0 |    5 |    14 |    1 |    2 | 0.273 | 0.37  | 0.43  | 0.8   |  668939 |
| Andrew Vaughn                |    25 |     924 | Maj-AL        | Chicago                | 152 |  615 |  566 |  67 | 146 |   30 |    2 |   21 |    80 |   36 |     0 |  129 |    11 |    0 |    2 |    15 |    0 |    0 | 0.258 | 0.314 | 0.429 | 0.743 |  683734 |
| Dylan Moore                  |    30 |     924 | Maj-AL        | Seattle                |  67 |  165 |  145 |  18 |  30 |    9 |    1 |    7 |    19 |   16 |     0 |   56 |     4 |    0 |    0 |     1 |    7 |    3 | 0.207 | 0.303 | 0.428 | 0.731 |  664238 |
| Carlos Santana               |    37 |     921 | Maj-NL        | Milwaukee,Pittsburgh   | 148 |  628 |  557 |  79 | 134 |   33 |    1 |   23 |    87 |   67 |     0 |  106 |     0 |    0 |    4 |    11 |    6 |    0 | 0.241 | 0.32  | 0.427 | 0.747 |  467793 |
| Elehuris Montero             |    24 |     924 | Maj-NL        | Colorado               |  85 |  307 |  284 |  40 |  69 |   15 |    2 |   11 |    39 |   15 |     0 |  111 |     5 |    0 |    3 |     5 |    0 |    0 | 0.243 | 0.29  | 0.426 | 0.716 |  660707 |
| Randy Arozarena              |    28 |     921 | Maj-AL        | Tampa Bay              | 153 |  662 |  559 |  95 | 143 |   20 |    3 |   23 |    83 |   80 |     1 |  158 |    18 |    0 |    5 |    10 |   22 |   10 | 0.256 | 0.364 | 0.426 | 0.79  |  668227 |
| Jonah Heim                   |    28 |     893 | Maj-AL        | Texas                  | 148 |  572 |  523 |  66 | 132 |   28 |    0 |   21 |   103 |   45 |     2 |  106 |     1 |    0 |    3 |    10 |    3 |    0 | 0.252 | 0.311 | 0.426 | 0.738 |  641680 |
| Yoán Moncada          |    28 |     925 | Maj-AL        | Chicago                |  92 |  357 |  334 |  39 |  87 |   20 |    1 |   11 |    40 |   20 |     0 |  107 |     2 |    0 |    1 |     6 |    1 |    0 | 0.26  | 0.305 | 0.425 | 0.73  |  660162 |
| Edmundo Sosa                 |    27 |     908 | Maj-NL        | Philadelphia           | 105 |  301 |  280 |  34 |  70 |   15 |    2 |   10 |    30 |    8 |     0 |   74 |     9 |    2 |    1 |    10 |    4 |    2 | 0.25  | 0.292 | 0.425 | 0.717 |  624641 |
| Andrew Knizner               |    28 |     924 | Maj-NL        | St. Louis              |  70 |  241 |  224 |  30 |  54 |   11 |    0 |   10 |    31 |   12 |     0 |   62 |     3 |    1 |    1 |     8 |    2 |    0 | 0.241 | 0.288 | 0.424 | 0.712 |  668800 |
| Josh Bell                    |    30 |     921 | Maj-AL,Maj-NL | Cleveland,Miami        | 152 |  625 |  555 |  53 | 139 |   30 |    0 |   22 |    75 |   63 |     2 |  135 |     2 |    0 |    3 |    13 |    0 |    1 | 0.25  | 0.327 | 0.423 | 0.751 |  605137 |
| Alfonso Rivas III            |    26 |     924 | Maj-NL        | Pittsburgh,San Diego   |  48 |  123 |  109 |   8 |  25 |   10 |    1 |    3 |    15 |    9 |     0 |   36 |     3 |    1 |    1 |     1 |    1 |    0 | 0.229 | 0.303 | 0.422 | 0.725 |  663845 |
| Brendan Donovan              |    26 |     988 | Maj-NL        | St. Louis              |  95 |  371 |  327 |  48 |  93 |   10 |    1 |   11 |    34 |   33 |     2 |   53 |     9 |    1 |    1 |     4 |    5 |    1 | 0.284 | 0.365 | 0.422 | 0.787 |  680977 |
| Salvador Perez               |    33 |     924 | Maj-AL        | Kansas City            | 140 |  580 |  538 |  59 | 137 |   21 |    0 |   23 |    80 |   19 |     6 |  135 |    13 |    0 |    8 |    11 |    0 |    0 | 0.255 | 0.292 | 0.422 | 0.714 |  521692 |
| Alex Verdugo                 |    27 |     924 | Maj-AL        | Boston                 | 142 |  602 |  546 |  81 | 144 |   37 |    5 |   13 |    54 |   45 |     1 |   93 |     6 |    0 |    5 |    11 |    5 |    3 | 0.264 | 0.324 | 0.421 | 0.745 |  657077 |
| Taylor Ward                  |    29 |     988 | Maj-AL        | Los Angeles            |  97 |  409 |  356 |  60 |  90 |   18 |    0 |   14 |    47 |   39 |     0 |   80 |     8 |    0 |    6 |     9 |    4 |    2 | 0.253 | 0.335 | 0.421 | 0.756 |  621493 |
| Connor Joe                   |    30 |     924 | Maj-NL        | Pittsburgh             | 133 |  472 |  413 |  63 | 102 |   31 |    4 |   11 |    42 |   50 |     0 |  110 |     8 |    0 |    1 |     4 |    3 |    5 | 0.247 | 0.339 | 0.421 | 0.76  |  656582 |
| Matt Chapman                 |    30 |     921 | Maj-AL        | Toronto                | 142 |  589 |  516 |  66 | 123 |   39 |    2 |   17 |    54 |   63 |     1 |  168 |     8 |    0 |    2 |     5 |    4 |    2 | 0.238 | 0.329 | 0.421 | 0.75  |  656305 |
| Cade Marlowe                 |    26 |     947 | Maj-AL        | Seattle                |  34 |  100 |   88 |  14 |  21 |    3 |    2 |    3 |    11 |   12 |     0 |   33 |     0 |    0 |    0 |     1 |    4 |    2 | 0.239 | 0.33  | 0.42  | 0.75  |  687799 |
| Giancarlo Stanton            |    33 |     927 | Maj-AL        | New York               | 101 |  415 |  371 |  43 |  71 |   13 |    0 |   24 |    60 |   41 |     3 |  124 |     2 |    0 |    1 |    11 |    0 |    0 | 0.191 | 0.275 | 0.42  | 0.695 |  519317 |
| Garrett Cooper               |    32 |     924 | Maj-NL        | Miami,San Diego        | 123 |  457 |  422 |  42 | 106 |   18 |    1 |   17 |    61 |   31 |     0 |  132 |     2 |    0 |    2 |    15 |    0 |    0 | 0.251 | 0.304 | 0.419 | 0.724 |  643265 |
| Kevin Kiermaier              |    33 |     921 | Maj-AL        | Toronto                | 131 |  414 |  375 |  58 | 100 |   21 |    6 |    8 |    37 |   30 |     0 |   88 |     4 |    1 |    4 |     9 |   14 |    1 | 0.267 | 0.324 | 0.419 | 0.743 |  595281 |
| Jarred Kelenic               |    23 |     924 | Maj-AL        | Seattle                | 105 |  416 |  372 |  44 |  94 |   25 |    2 |   11 |    49 |   41 |     4 |  132 |     1 |    0 |    2 |     6 |   13 |    5 | 0.253 | 0.327 | 0.419 | 0.746 |  672284 |
| Lars Nootbaar                |    25 |     924 | Maj-NL        | St. Louis              | 117 |  503 |  426 |  74 | 111 |   23 |    1 |   14 |    46 |   72 |     2 |   99 |     1 |    1 |    3 |     7 |   11 |    1 | 0.261 | 0.367 | 0.418 | 0.784 |  663457 |
| LaMonte Wade Jr.             |    29 |     924 | Maj-NL        | San Francisco          | 135 |  519 |  429 |  64 | 110 |   14 |    2 |   17 |    45 |   76 |     3 |   95 |     6 |    4 |    4 |     4 |    2 |    0 | 0.256 | 0.373 | 0.417 | 0.79  |  664774 |
| David Fry                    |    27 |     931 | Maj-AL        | Cleveland              |  57 |  113 |  101 |  12 |  24 |    6 |    0 |    4 |    15 |    8 |     0 |   30 |     4 |    0 |    0 |     3 |    2 |    0 | 0.238 | 0.319 | 0.416 | 0.734 |  681807 |
| Chris Taylor                 |    32 |     914 | Maj-NL        | Los Angeles            | 120 |  391 |  344 |  51 |  81 |   15 |    1 |   15 |    57 |   42 |     2 |  127 |     4 |    0 |    1 |     3 |   16 |    3 | 0.235 | 0.325 | 0.416 | 0.741 |  621035 |
| Thairo Estrada               |    27 |     924 | Maj-NL        | San Francisco          | 120 |  530 |  495 |  63 | 134 |   26 |    2 |   14 |    49 |   22 |     1 |  120 |    11 |    0 |    2 |    10 |   23 |    7 | 0.271 | 0.315 | 0.416 | 0.731 |  642731 |
| Joc Pederson                 |    31 |     924 | Maj-NL        | San Francisco          | 121 |  425 |  358 |  59 |  84 |   14 |    3 |   15 |    51 |   57 |     6 |   89 |     7 |    0 |    3 |    12 |    0 |    0 | 0.235 | 0.348 | 0.416 | 0.764 |  592626 |
| Hunter Renfroe               |    31 |     938 | Maj-AL,Maj-NL | Cincinnati,Los Angeles | 140 |  548 |  498 |  60 | 116 |   31 |    0 |   20 |    60 |   44 |     0 |  125 |     3 |    0 |    3 |    15 |    0 |    0 | 0.233 | 0.297 | 0.416 | 0.713 |  592669 |
| Dansby Swanson               |    29 |     925 | Maj-NL        | Chicago                | 147 |  638 |  565 |  81 | 138 |   25 |    3 |   22 |    80 |   66 |     0 |  154 |     5 |    0 |    2 |     9 |    9 |    1 | 0.244 | 0.328 | 0.416 | 0.744 |  621020 |
| Trevor Larnach               |    26 |     924 | Maj-AL        | Minnesota              |  58 |  212 |  183 |  26 |  39 |    7 |    3 |    8 |    40 |   27 |     1 |   72 |     0 |    0 |    2 |     2 |    1 |    1 | 0.213 | 0.311 | 0.415 | 0.727 |  663616 |
| Kyle Farmer                  |    32 |     917 | Maj-AL        | Minnesota              | 122 |  373 |  340 |  50 |  87 |   14 |    2 |   12 |    48 |   23 |     0 |   88 |     8 |    0 |    2 |     7 |    2 |    4 | 0.256 | 0.316 | 0.415 | 0.731 |  571657 |
| Shea Langeliers              |    25 |     925 | Maj-AL        | Oakland                | 135 |  490 |  448 |  52 |  92 |   19 |    4 |   22 |    63 |   34 |     2 |  143 |     5 |    1 |    2 |    10 |    3 |    2 | 0.205 | 0.268 | 0.413 | 0.681 |  669127 |
| Kyle Higashioka              |    33 |     924 | Maj-AL        | New York               |  92 |  260 |  242 |  24 |  57 |   13 |    0 |   10 |    34 |   14 |     0 |   74 |     0 |    1 |    3 |     5 |    0 |    0 | 0.236 | 0.274 | 0.413 | 0.687 |  543309 |
| J.D. Davis                   |    30 |     929 | Maj-NL        | San Francisco          | 144 |  546 |  480 |  61 | 119 |   23 |    1 |   18 |    69 |   52 |     0 |  152 |     6 |    0 |    6 |    16 |    1 |    0 | 0.248 | 0.325 | 0.413 | 0.738 |  605204 |
| Gabriel Moreno               |    23 |     893 | Maj-NL        | Arizona                | 128 |  450 |  404 |  39 | 112 |   20 |    1 |   11 |    62 |   35 |     0 |   95 |     3 |    1 |    7 |    18 |    6 |    2 | 0.277 | 0.334 | 0.413 | 0.747 |  672515 |
