*Data source: Baseball Reference (FanGraphs was unavailable).*

Showing 200 of 463 total rows.

| Name                         |   Age |   #days | Lev           | Tm                     |   G |   PA |   AB |   R |   H |   2B |   3B |   HR |   RBI |   BB |   IBB |   SO |   HBP |   SH |   SF |   GDP |   SB |   CS |    BA |   OBP |   SLG |   OPS |   mlbID |
| Austin Riley                 |    26 |     913 | Maj-NL        | Atlanta                | 163 |  732 |  653 | 119 | 185 |   32 |    3 |   39 |   100 |   59 |     4 |  178 |     9 |    0 |   11 |    18 |    3 |    1 | 0.283 | 0.346 | 0.521 | 0.866 |  663586 |
| Yainer Diaz                  |    24 |     902 | Maj-AL        | Houston                | 111 |  391 |  369 |  52 | 101 |   22 |    0 |   23 |    60 |   11 |     0 |   79 |     5 |    0 |    6 |    12 |    0 |    0 | 0.274 | 0.299 | 0.52  | 0.82  |  673237 |
| Juan Soto                    |    24 |     924 | Maj-NL        | San Diego              | 162 |  708 |  568 |  97 | 156 |   32 |    1 |   35 |   109 |  132 |    11 |  129 |     2 |    1 |    5 |    18 |   12 |    5 | 0.275 | 0.41  | 0.519 | 0.93  |  665742 |
| Richie Palacios              |    26 |     924 | Maj-NL        | St. Louis              |  32 |  102 |   93 |   9 |  24 |    6 |    0 |    6 |    16 |    6 |     0 |   11 |     1 |    1 |    1 |     1 |    2 |    0 | 0.258 | 0.307 | 0.516 | 0.823 |  680700 |
| Yandy Díaz            |    31 |     921 | Maj-AL        | Tampa Bay              | 139 |  608 |  533 |  95 | 174 |   35 |    0 |   22 |    78 |   65 |     0 |   95 |     8 |    0 |    2 |    16 |    0 |    1 | 0.326 | 0.406 | 0.516 | 0.922 |  650490 |
| Jake Burger                  |    27 |     921 | Maj-AL,Maj-NL | Chicago,Miami          | 143 |  547 |  499 |  71 | 125 |   28 |    1 |   34 |    80 |   32 |     0 |  149 |    12 |    0 |    4 |     4 |    1 |    1 | 0.251 | 0.309 | 0.515 | 0.824 |  669394 |
| Bryce Harper                 |    30 |     901 | Maj-NL        | Philadelphia           | 139 |  601 |  499 |  98 | 146 |   29 |    1 |   26 |    80 |   93 |    10 |  130 |     5 |    0 |    4 |    12 |   14 |    4 | 0.293 | 0.406 | 0.511 | 0.917 |  547180 |
| Wilmer Flores                |    31 |     925 | Maj-NL        | San Francisco          | 126 |  454 |  405 |  51 | 115 |   22 |    0 |   23 |    60 |   41 |     1 |   63 |     5 |    0 |    3 |    13 |    0 |    0 | 0.284 | 0.355 | 0.509 | 0.863 |  527038 |
| Christopher Morel            |    24 |     924 | Maj-NL        | Chicago                | 107 |  429 |  388 |  62 |  96 |   17 |    3 |   26 |    70 |   36 |     0 |  133 |     2 |    1 |    2 |     7 |    6 |    2 | 0.247 | 0.313 | 0.508 | 0.821 |  666624 |
| Ozzie Albies                 |    26 |     913 | Maj-NL        | Atlanta                | 152 |  677 |  611 |  96 | 171 |   30 |    5 |   33 |   110 |   48 |     2 |  110 |     8 |    0 |    8 |    10 |   13 |    2 | 0.28  | 0.336 | 0.507 | 0.844 |  645277 |
| Matt McLain                  |    23 |     959 | Maj-NL        | Cincinnati             |  89 |  403 |  365 |  65 | 106 |   23 |    4 |   16 |    50 |   31 |     0 |  115 |     7 |    0 |    0 |     5 |   14 |    5 | 0.29  | 0.357 | 0.507 | 0.864 |  680574 |
| Jorge Soler                  |    31 |     921 | Maj-NL        | Miami                  | 139 |  588 |  512 |  77 | 127 |   24 |    0 |   36 |    75 |   66 |     4 |  146 |     6 |    0 |    4 |    20 |    1 |    0 | 0.248 | 0.338 | 0.506 | 0.844 |  624585 |
| DJ Stewart                   |    29 |     924 | Maj-NL        | New York               |  58 |  185 |  160 |  21 |  39 |    9 |    0 |   11 |    26 |   15 |     0 |   56 |     7 |    1 |    1 |     3 |    1 |    1 | 0.244 | 0.333 | 0.506 | 0.84  |  621466 |
| Pete Alonso                  |    28 |     924 | Maj-NL        | New York               | 154 |  658 |  568 |  92 | 123 |   21 |    2 |   46 |   118 |   65 |     6 |  151 |    21 |    0 |    4 |    17 |    4 |    1 | 0.217 | 0.318 | 0.504 | 0.821 |  624413 |
| Zack Gelof                   |    23 |     924 | Maj-AL        | Oakland                |  69 |  300 |  270 |  40 |  72 |   20 |    1 |   14 |    32 |   26 |     1 |   82 |     3 |    0 |    1 |     5 |   14 |    2 | 0.267 | 0.337 | 0.504 | 0.84  |  680869 |
| Rafael Devers                |    26 |     924 | Maj-AL        | Boston                 | 153 |  656 |  580 |  90 | 157 |   34 |    0 |   33 |   100 |   62 |    10 |  126 |    11 |    0 |    3 |    15 |    5 |    1 | 0.271 | 0.351 | 0.5   | 0.851 |  646240 |
| Logan O\'Hoppe               |    23 |     924 | Maj-AL        | Los Angeles            |  51 |  199 |  182 |  23 |  43 |    6 |    0 |   14 |    29 |   14 |     0 |   48 |     2 |    0 |    1 |     4 |    0 |    1 | 0.236 | 0.296 | 0.5   | 0.796 |  681351 |
| Patrick Wisdom               |    31 |     924 | Maj-NL        | Chicago                |  97 |  302 |  268 |  43 |  55 |    8 |    1 |   23 |    46 |   30 |     0 |  111 |     2 |    1 |    1 |     4 |    4 |    2 | 0.205 | 0.289 | 0.5   | 0.789 |  621550 |
| Kyle Tucker                  |    26 |     902 | Maj-AL        | Houston                | 168 |  722 |  614 | 101 | 169 |   40 |    5 |   29 |   113 |   88 |     9 |  102 |     3 |    0 |   10 |    11 |   30 |    5 | 0.275 | 0.364 | 0.498 | 0.862 |  663656 |
| Josh Lowe                    |    25 |     921 | Maj-AL        | Tampa Bay              | 137 |  506 |  470 |  72 | 137 |   33 |    2 |   20 |    83 |   32 |     2 |  124 |     1 |    0 |    3 |     6 |   32 |    3 | 0.291 | 0.336 | 0.498 | 0.834 |  666139 |
| Will Benson                  |    25 |     924 | Maj-NL        | Cincinnati             | 108 |  329 |  287 |  51 |  79 |   15 |    8 |   11 |    31 |   40 |     0 |  103 |     1 |    0 |    1 |     3 |   19 |    3 | 0.275 | 0.365 | 0.498 | 0.863 |  666181 |
| Brandon Drury                |    30 |     924 | Maj-AL        | Los Angeles            | 125 |  523 |  485 |  61 | 127 |   30 |    3 |   26 |    83 |   25 |     0 |  136 |     8 |    0 |    5 |    14 |    0 |    2 | 0.262 | 0.306 | 0.497 | 0.803 |  592273 |
| Corbin Carroll               |    22 |     893 | Maj-NL        | Arizona                | 172 |  723 |  631 | 127 | 179 |   31 |   11 |   27 |    86 |   66 |     2 |  138 |    14 |    7 |    5 |     7 |   59 |    6 | 0.284 | 0.362 | 0.496 | 0.858 |  682998 |
| Gunnar Henderson             |    22 |     915 | Maj-AL        | Baltimore              | 153 |  635 |  572 | 103 | 149 |   29 |    9 |   29 |    84 |   57 |     1 |  163 |     3 |    0 |    3 |    10 |   10 |    4 | 0.26  | 0.329 | 0.495 | 0.824 |  683002 |
| Mickey Moniak                |    25 |     925 | Maj-AL        | Los Angeles            |  85 |  323 |  311 |  35 |  87 |   21 |    2 |   14 |    45 |    9 |     1 |  113 |     3 |    0 |    0 |     4 |    6 |    3 | 0.28  | 0.307 | 0.495 | 0.802 |  666160 |
| Bobby Witt Jr.               |    23 |     924 | Maj-AL        | Kansas City            | 158 |  694 |  641 |  97 | 177 |   28 |   11 |   30 |    96 |   40 |     1 |  121 |     4 |    1 |    8 |    11 |   49 |   15 | 0.276 | 0.319 | 0.495 | 0.813 |  677951 |
| Gary Sánchez          |    30 |     949 | Maj-NL        | New York,San Diego     |  75 |  267 |  240 |  33 |  52 |    9 |    0 |   19 |    47 |   21 |     0 |   67 |     4 |    0 |    2 |     3 |    0 |    0 | 0.217 | 0.288 | 0.492 | 0.78  |  596142 |
| Ketel Marte                  |    29 |     893 | Maj-NL        | Arizona                | 167 |  729 |  642 | 100 | 181 |   33 |   10 |   27 |    93 |   77 |     2 |  127 |     5 |    0 |    5 |    17 |   11 |    3 | 0.282 | 0.361 | 0.491 | 0.851 |  606466 |
| Luis Campusano               |    24 |     931 | Maj-NL        | San Diego              |  49 |  174 |  163 |  27 |  52 |    7 |    0 |    7 |    30 |    7 |     0 |   21 |     3 |    0 |    1 |     8 |    0 |    0 | 0.319 | 0.356 | 0.491 | 0.847 |  669134 |
| Jose Siri                    |    27 |     922 | Maj-AL        | Tampa Bay              | 102 |  367 |  341 |  58 |  75 |   13 |    2 |   25 |    56 |   20 |     0 |  130 |     2 |    1 |    3 |     5 |   12 |    3 | 0.22  | 0.265 | 0.49  | 0.755 |  642350 |
| Mike Trout                   |    31 |     964 | Maj-AL        | Los Angeles            |  82 |  362 |  308 |  54 |  81 |   14 |    1 |   18 |    44 |   45 |     2 |  104 |     7 |    0 |    2 |     4 |    2 |    0 | 0.263 | 0.367 | 0.49  | 0.858 |  545361 |
| Mitch Garver                 |    32 |     893 | Maj-AL        | Texas                  | 101 |  404 |  349 |  53 |  92 |   13 |    0 |   22 |    64 |   50 |     2 |   94 |     4 |    0 |    0 |    12 |    0 |    0 | 0.264 | 0.362 | 0.49  | 0.852 |  641598 |
| Luke Raley                   |    28 |     935 | Maj-AL        | Tampa Bay              | 118 |  406 |  357 |  56 |  89 |   23 |    3 |   19 |    49 |   28 |     0 |  128 |    18 |    1 |    2 |     2 |   14 |    3 | 0.249 | 0.333 | 0.49  | 0.824 |  670042 |
| Triston Casas                |    23 |     941 | Maj-AL        | Boston                 | 132 |  502 |  429 |  66 | 113 |   21 |    2 |   24 |    65 |   70 |     2 |  126 |     1 |    0 |    2 |     7 |    0 |    0 | 0.263 | 0.367 | 0.49  | 0.856 |  671213 |
| Matt Wallner                 |    25 |     915 | Maj-AL        | Minnesota              |  80 |  266 |  221 |  43 |  53 |   11 |    1 |   14 |    41 |   31 |     1 |   85 |    14 |    0 |    0 |     1 |    2 |    1 | 0.24  | 0.368 | 0.489 | 0.857 |  670242 |
| Josh Naylor                  |    26 |     924 | Maj-AL        | Cleveland              | 121 |  495 |  452 |  52 | 139 |   31 |    0 |   17 |    97 |   33 |     9 |   68 |     3 |    0 |    7 |    11 |   10 |    3 | 0.308 | 0.354 | 0.489 | 0.842 |  647304 |
| Isaac Paredes                |    24 |     921 | Maj-AL        | Tampa Bay              | 145 |  579 |  500 |  71 | 126 |   25 |    0 |   31 |    98 |   58 |     0 |  106 |    20 |    0 |    1 |    11 |    1 |    0 | 0.252 | 0.352 | 0.488 | 0.84  |  670623 |
| Brent Rooker                 |    28 |     924 | Maj-AL        | Oakland                | 137 |  526 |  463 |  61 | 114 |   20 |    1 |   30 |    69 |   49 |     1 |  172 |    10 |    0 |    4 |    11 |    4 |    0 | 0.246 | 0.329 | 0.488 | 0.817 |  667670 |
| Kyle Schwarber               |    30 |     901 | Maj-NL        | Philadelphia           | 173 |  777 |  632 | 117 | 127 |   23 |    1 |   52 |   110 |  135 |     7 |  232 |     7 |    0 |    3 |     5 |    0 |    2 | 0.201 | 0.346 | 0.487 | 0.834 |  656941 |
| Julio Rodríguez       |    22 |     924 | Maj-AL        | Seattle                | 155 |  714 |  654 | 102 | 180 |   37 |    2 |   32 |   103 |   47 |     6 |  175 |    11 |    0 |    2 |    14 |   37 |   10 | 0.275 | 0.333 | 0.485 | 0.818 |  677594 |
| Seiya Suzuki                 |    28 |     925 | Maj-NL        | Chicago                | 138 |  583 |  515 |  75 | 147 |   31 |    6 |   20 |    74 |   59 |     3 |  130 |     2 |    0 |    7 |     8 |    6 |    7 | 0.285 | 0.357 | 0.485 | 0.842 |  673548 |
| Christian Walker             |    32 |     893 | Maj-NL        | Arizona                | 174 |  736 |  642 |  93 | 163 |   41 |    2 |   34 |   110 |   75 |     4 |  146 |     9 |    0 |    9 |    13 |   17 |    0 | 0.254 | 0.336 | 0.483 | 0.819 |  572233 |
| Chas McCormick               |    28 |     902 | Maj-AL        | Houston                | 123 |  488 |  431 |  60 | 118 |   17 |    2 |   23 |    73 |   42 |     0 |  122 |    12 |    1 |    2 |     3 |   20 |    6 | 0.274 | 0.353 | 0.483 | 0.836 |  676801 |
| Nick Castellanos             |    31 |     901 | Maj-NL        | Philadelphia           | 170 |  723 |  673 |  86 | 180 |   39 |    2 |   34 |   113 |   40 |     1 |  199 |     3 |    0 |    7 |    17 |   12 |    2 | 0.267 | 0.308 | 0.483 | 0.791 |  592206 |
| Jarren Duran                 |    26 |     966 | Maj-AL        | Boston                 | 101 |  362 |  332 |  46 |  98 |   34 |    2 |    8 |    40 |   24 |     1 |   90 |     3 |    0 |    2 |     3 |   24 |    2 | 0.295 | 0.346 | 0.482 | 0.828 |  680776 |
| Brandon Belt                 |    35 |     921 | Maj-AL        | Toronto                | 105 |  412 |  347 |  53 |  86 |   23 |    0 |   19 |    43 |   61 |     1 |  146 |     2 |    0 |    2 |     5 |    0 |    0 | 0.248 | 0.362 | 0.478 | 0.84  |  474832 |
| Nolan Gorman                 |    23 |     943 | Maj-NL        | St. Louis              | 119 |  464 |  406 |  59 |  96 |   17 |    0 |   27 |    76 |   53 |     1 |  148 |     3 |    0 |    2 |     5 |    7 |    2 | 0.236 | 0.328 | 0.478 | 0.805 |  669357 |
| Christian Encarnacion-Strand |    23 |     924 | Maj-NL        | Cincinnati             |  63 |  241 |  222 |  29 |  60 |    7 |    0 |   13 |    37 |   14 |     0 |   69 |     5 |    0 |    0 |     5 |    2 |    0 | 0.27  | 0.328 | 0.477 | 0.805 |  687952 |
| Riley Adams                  |    27 |     949 | Maj-NL        | Washington             |  44 |  158 |  143 |   8 |  39 |   13 |    2 |    4 |    21 |   11 |     0 |   45 |     2 |    1 |    1 |     5 |    0 |    0 | 0.273 | 0.331 | 0.476 | 0.807 |  656180 |
| Ryan O\'Hearn                |    29 |     915 | Maj-AL        | Baltimore              | 115 |  373 |  351 |  48 | 101 |   22 |    1 |   14 |    60 |   15 |     2 |   83 |     3 |    1 |    3 |     2 |    5 |    1 | 0.288 | 0.32  | 0.476 | 0.796 |  656811 |
| Wander Franco                |    22 |     974 | Maj-AL        | Tampa Bay              | 112 |  491 |  442 |  65 | 124 |   23 |    6 |   17 |    58 |   42 |     3 |   69 |     3 |    0 |    4 |    18 |   30 |   10 | 0.281 | 0.344 | 0.475 | 0.819 |  677551 |
| Mike Ford                    |    30 |     924 | Maj-AL        | Seattle                |  83 |  251 |  219 |  32 |  50 |    6 |    0 |   16 |    34 |   24 |     0 |   81 |     7 |    0 |    1 |     4 |    0 |    0 | 0.228 | 0.323 | 0.475 | 0.798 |  645801 |
